"Date","Price","Open","High","Low","Vol.","Change %"
"06/06/2024","18,350.0","18,500.0","18,500.0","18,350.0","0.01K","0.00%"
"06/05/2024","18,350.0","18,090.0","18,500.0","18,090.0","0.02K","-0.81%"
"06/04/2024","18,500.0","18,880.0","18,880.0","18,450.1","0.03K","0.00%"
"06/03/2024","18,500.0","18,499.0","18,500.0","18,401.0","0.05K","0.00%"
"05/31/2024","18,500.0","18,500.0","18,600.0","18,490.0","0.28K","0.00%"
"05/30/2024","18,500.0","18,500.0","18,500.0","18,400.1","0.09K","0.14%"
"05/29/2024","18,475.0","18,500.0","18,500.0","18,301.5","0.06K","-0.14%"
"05/27/2024","18,500.0","18,500.0","18,799.0","18,488.0","0.20K","0.00%"
"05/24/2024","18,500.0","18,449.0","18,500.0","18,449.0","0.10K","0.00%"
"05/23/2024","18,500.0","18,550.0","18,590.0","18,500.0","0.05K","0.43%"
"05/22/2024","18,420.0","18,550.0","18,642.0","18,400.0","0.08K","-0.89%"
"05/21/2024","18,585.0","19,000.0","19,280.0","18,000.0","0.31K","-2.18%"
"05/20/2024","19,000.0","19,100.0","19,100.0","18,961.0","0.09K","-0.08%"
"05/17/2024","19,015.0","18,995.0","19,020.0","18,899.0","0.02K","0.21%"
"05/16/2024","18,975.0","18,800.0","18,975.0","18,800.0","0.01K","-0.13%"
"05/15/2024","19,000.0","19,100.0","19,100.0","18,901.0","0.02K","0.05%"
"05/14/2024","18,990.0","19,100.0","19,300.0","18,990.0","0.05K","-0.05%"
"05/13/2024","19,000.0","19,544.9","19,544.9","19,000.0","0.03K","-0.47%"
"05/10/2024","19,090.0","19,480.0","19,480.0","18,900.0","0.04K","-0.52%"
"05/09/2024","19,190.0","18,995.0","19,190.0","18,950.0","0.04K","1.03%"
"05/08/2024","18,995.0","19,548.0","19,650.0","18,560.0","0.18K","-2.82%"
"05/07/2024","19,546.0","19,550.0","19,550.0","19,546.0","0.01K","0.75%"
"05/06/2024","19,400.0","18,720.0","19,694.9","18,720.0","0.06K","0.00%"
"05/03/2024","19,400.0","19,225.0","19,400.0","19,001.0","0.05K","0.52%"
"05/02/2024","19,299.0","20,699.0","20,699.0","19,000.0","0.14K","-3.51%"
"04/30/2024","20,000.0","20,750.0","20,750.0","20,000.0","0.05K","2.27%"
"04/29/2024","19,556.0","20,020.0","20,155.0","19,500.0","0.05K","-2.22%"
"04/26/2024","20,000.0","20,400.0","21,500.0","20,000.0","0.09K","-1.26%"
"04/25/2024","20,255.0","20,600.0","20,600.0","20,255.0","0.02K","-1.67%"
"04/24/2024","20,599.9","20,700.0","20,700.0","20,255.0","0.12K","0.49%"
"04/23/2024","20,499.0","20,550.0","20,550.0","20,002.0","0.20K","0.00%"
"04/22/2024","20,500.0","20,790.0","20,790.0","20,500.0","0.02K","-1.91%"
"04/19/2024","20,900.0","20,000.0","20,900.0","20,000.0","0.06K","0.97%"
"04/18/2024","20,700.0","20,700.0","20,700.0","20,700.0","0.04K","0.00%"
"04/17/2024","20,699.0","20,699.0","20,699.0","20,699.0","0.02K","0.00%"
"04/16/2024","20,699.0","21,500.0","21,500.0","20,600.0","0.12K","-0.49%"
"04/15/2024","20,800.0","20,600.0","20,800.0","20,600.0","0.12K","0.00%"
"04/08/2024","20,800.0","20,100.0","20,800.0","20,000.0","0.06K","-0.95%"
"04/04/2024","21,000.0","21,000.0","21,000.0","21,000.0","0.02K","0.00%"
"03/28/2024","21,000.0","20,599.0","21,000.0","20,500.0","0.08K","-2.78%"
"03/27/2024","21,600.0","21,600.0","21,600.0","21,600.0","0.02K","-0.46%"
"03/19/2024","21,700.0","21,700.0","21,700.0","21,700.0","0.02K","0.93%"
"03/18/2024","21,500.0","21,500.0","21,500.0","21,500.0","0.04K","0.00%"
"03/15/2024","21,500.0","21,500.0","21,500.0","21,500.0","0.04K","0.47%"
"03/13/2024","21,400.0","20,800.0","21,400.0","20,800.0","0.04K","0.94%"
"03/11/2024","21,200.0","21,900.0","21,900.0","20,898.0","0.10K","-3.20%"
"03/07/2024","21,900.0","21,900.0","21,900.0","21,900.0","0.02K","1.86%"
"03/06/2024","21,500.0","22,000.0","22,000.0","21,001.0","0.10K","1.90%"
"03/05/2024","21,100.0","21,100.0","21,100.0","21,100.0","0.02K","-3.21%"
"02/28/2024","21,800.0","21,800.0","21,800.0","21,800.0","0.06K","0.00%"
"02/27/2024","21,800.0","21,800.0","21,800.0","21,800.0","","3.32%"
"02/26/2024","21,100.0","21,190.0","21,190.0","21,100.0","0.04K","-3.21%"
"02/23/2024","21,800.0","21,800.0","21,800.0","21,798.5","0.08K","0.00%"
"02/20/2024","21,800.0","21,800.0","21,800.0","21,800.0","0.02K","-2.20%"
"02/19/2024","22,290.0","22,290.0","22,290.0","22,290.0","0.02K","-0.04%"
"02/09/2024","22,300.0","22,300.0","22,300.0","22,300.0","0.04K","0.00%"
"02/07/2024","22,300.0","22,300.0","22,300.0","22,300.0","","-0.33%"
"01/31/2024","22,373.0","22,350.0","22,373.0","22,350.0","0.06K","7.50%"
"01/30/2024","20,812.5","20,812.5","20,812.5","20,812.5","0.04K","-7.50%"
"01/29/2024","22,500.0","22,200.0","22,500.0","22,200.0","0.04K","4.65%"
"01/26/2024","21,500.0","21,899.0","21,899.0","21,500.0","0.04K","-1.83%"
"01/25/2024","21,900.0","21,100.0","21,900.0","21,100.0","0.04K","0.00%"
